                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.76895,                 5.9593,                0.50528,                0.53156,                 1.0587,                0.96513,                0.91367,                0.96371,                0.77173,                0.41529,                0.30216,                0.20076,                0.05823,                0.77614,                 5.4943,                0.51942,                0.46641,                 1.0781,               0.001802,               0.001802,               0.001802
                     23,                0.76806,                 5.7901,                0.50496,                0.52492,                 1.0434,                0.95877,                0.93813,                0.96046,                0.77066,                0.40005,                0.33813,                0.18933,                0.05656,                0.72989,                  5.297,                0.52652,                0.46995,                 1.0536,              0.0017921,              0.0017921,              0.0017921
                     24,                0.76475,                 5.6989,                0.50269,                0.52783,                 1.0529,                0.97779,                0.90791,                0.95907,                0.77289,                0.39117,                0.31511,                0.18392,                0.05755,                0.73645,                 5.2492,                 0.5159,                0.46041,                 1.0542,              0.0017822,              0.0017822,              0.0017822
                     25,                0.76014,                 5.6939,                0.49192,                0.52551,                 1.0448,                0.96426,                0.93164,                 0.9581,                 0.7776,                 0.4667,                0.35252,                0.24079,                0.07898,                0.73707,                 5.0716,                0.52067,                0.47072,                 1.0542,              0.0017723,              0.0017723,              0.0017723
                     26,                 0.7499,                 5.4959,                0.49845,                0.51421,                 1.0472,                0.96061,                0.91511,                0.94974,                0.77533,                0.44156,                0.33525,                0.22289,                0.07781,                0.73295,                 5.1055,                 0.5111,                0.48873,                 1.0573,              0.0017624,              0.0017624,              0.0017624
                     27,                0.73627,                 5.3176,                0.48541,                 0.5018,                 1.0344,                 0.9527,                0.92738,                0.95737,                0.77702,                0.40482,                0.30828,                0.18149,                0.05423,                0.72682,                 5.0629,                0.51922,                0.48358,                 1.0575,              0.0017525,              0.0017525,              0.0017525
                     28,                0.75242,                 5.4694,                0.48576,                 0.5174,                 1.0449,                0.96761,                0.92662,                0.96746,                0.77562,                 0.4818,                0.36655,                0.26024,                0.07526,                0.73626,                 4.8944,                0.51582,                0.47384,                 1.0551,              0.0017426,              0.0017426,              0.0017426
                     29,                0.74884,                 5.4389,                0.48591,                0.51051,                 1.0463,                0.97271,                0.90935,                0.95614,                0.77991,                0.47982,                0.35252,                0.29345,                0.10471,                0.72338,                 4.9948,                0.50828,                0.46537,                 1.0608,              0.0017327,              0.0017327,              0.0017327
                     30,                0.73358,                  5.246,                0.48126,                0.49488,                 1.0389,                0.97875,                0.91799,                0.96363,                 0.7912,                0.48425,                0.37986,                0.29078,                0.10074,                 0.7331,                 4.7637,                0.51073,                0.44361,                 1.0505,              0.0017228,              0.0017228,              0.0017228
                     31,                 0.7347,                 5.2279,                0.47982,                 0.4994,                 1.0386,                0.98294,                0.91196,                0.96038,                0.78906,                0.48787,                0.38417,                0.27279,                0.09667,                0.71809,                 4.7189,                0.49769,                0.45757,                 1.0526,              0.0017129,              0.0017129,              0.0017129
                     32,                0.72811,                 5.1032,                0.47585,                0.49074,                 1.0317,                 0.9726,                0.91937,                0.96349,                 0.7909,                0.48077,                0.38705,                0.27344,                0.09637,                0.69808,                 4.6273,                0.50205,                0.44189,                 1.0367,               0.001703,               0.001703,               0.001703
                     33,                0.73972,                 5.1471,                0.47959,                0.50325,                 1.0342,                0.96735,                0.93778,                0.96848,                0.78528,                0.49349,                0.37698,                0.29916,                0.11094,                0.71867,                 4.7524,                0.49927,                0.43736,                 1.0542,              0.0016931,              0.0016931,              0.0016931
                     34,                0.72135,                 5.0242,                0.47717,                 0.4816,                 1.0212,                0.97824,                0.92374,                0.96234,                0.78513,                0.48966,                0.38705,                0.27389,                0.10097,                0.70417,                 4.5707,                0.50177,                0.43193,                 1.0428,              0.0016832,              0.0016832,              0.0016832
                     35,                0.71455,                 4.9014,                 0.4764,                0.46824,                 1.0202,                0.95966,                0.92374,                0.95907,                0.78521,                0.54699,                0.40719,                0.35158,                0.12816,                0.72414,                 4.5486,                0.50357,                0.43909,                 1.0518,              0.0016733,              0.0016733,              0.0016733
                     36,                0.71598,                  4.878,                0.47064,                0.48183,                 1.0237,                0.96735,                0.93787,                0.96243,                0.78982,                0.47547,                0.37986,                0.28272,                0.10356,                0.70453,                   4.69,                 0.4975,                0.42783,                 1.0468,              0.0016634,              0.0016634,              0.0016634
                     37,                0.70278,                 4.8523,                0.47579,                0.46784,                  1.015,                0.96219,                 0.9223,                0.95771,                0.77587,                0.50388,                0.39137,                0.27663,                0.09975,                0.71962,                 4.6105,                0.48679,                0.46293,                 1.0574,              0.0016535,              0.0016535,              0.0016535
                     38,                0.70577,                 4.9543,                0.47432,                0.47947,                  1.024,                0.98313,                0.92223,                0.96054,                0.79077,                0.49214,                0.40719,                0.28272,                0.09759,                0.70609,                 4.5082,                0.48946,                0.42377,                  1.041,              0.0016436,              0.0016436,              0.0016436
                     39,                0.71744,                 4.8819,                 0.4723,                  0.473,                 1.0244,                0.97324,                 0.9295,                 0.9676,                 0.7989,                0.51066,                0.41871,                0.32478,                0.11615,                0.70446,                 4.3173,                0.49556,                0.43387,                 1.0412,              0.0016337,              0.0016337,              0.0016337
                     40,                0.70691,                 4.8268,                0.46411,                0.47124,                 1.0223,                 0.9801,                0.90504,                0.95865,                0.78527,                0.49505,                0.38705,                0.31414,                0.12409,                 0.7204,                 4.6191,                0.48637,                0.44003,                 1.0476,              0.0016238,              0.0016238,              0.0016238
                     41,                0.71804,                 4.6691,                0.46087,                0.47534,                 1.0334,                0.96752,                0.94305,                0.97081,                0.80359,                0.51663,                0.43885,                0.35907,                 0.1451,                0.69418,                 4.2937,                0.49824,                0.41342,                 1.0405,              0.0016139,              0.0016139,              0.0016139
                     42,                0.70638,                 4.7071,                0.45603,                0.46331,                  1.018,                0.97708,                   0.92,                0.96119,                0.78821,                0.55564,                0.45878,                0.37452,                0.12875,                0.69614,                 4.2205,                0.48883,                0.43017,                 1.0361,               0.001604,               0.001604,               0.001604
                     43,                0.69003,                  4.548,                0.45563,                0.44684,                 1.0026,                0.95883,                0.93819,                0.96451,                 0.7823,                0.53678,                0.42184,                0.33104,                0.13612,                0.71693,                 4.3475,                 0.4946,                0.44372,                 1.0513,              0.0015941,              0.0015941,              0.0015941
                     44,                0.70546,                 4.6671,                0.45673,                0.45712,                 1.0169,                0.96714,                0.93525,                0.96748,                0.79183,                0.50988,                0.43165,                0.34226,                0.13171,                0.69003,                 4.2808,                0.48315,                0.42407,                 1.0306,              0.0015842,              0.0015842,              0.0015842
                     45,                0.69526,                  4.591,                0.46093,                0.45628,                 1.0161,                0.97296,                0.93176,                0.96673,                 0.8015,                0.51119,                0.42583,                0.35727,                0.13942,                0.69132,                 4.2646,                0.48558,                0.40231,                 1.0274,              0.0015743,              0.0015743,              0.0015743
                     46,                 0.6808,                 4.4826,                0.45465,                 0.4438,                 1.0014,                  0.972,                0.93094,                0.96953,                0.79634,                0.54131,                0.44892,                0.35493,                 0.1342,                0.69759,                  4.112,                0.47641,                0.42788,                 1.0344,              0.0015644,              0.0015644,              0.0015644
                     47,                0.69894,                 4.4297,                0.45302,                0.45769,                 1.0197,                0.96875,                0.93681,                0.96743,                0.80124,                0.53564,                0.44029,                0.35108,                0.12795,                0.67923,                 4.1008,                0.47758,                0.42022,                 1.0218,              0.0015545,              0.0015545,              0.0015545
                     48,                  0.698,                 4.3948,                0.45441,                0.45337,                 1.0107,                0.96462,                0.94165,                0.97186,                0.81129,                0.56335,                0.47523,                0.37641,                0.15456,                0.66217,                 3.9708,                0.47622,                0.40743,                 1.0107,              0.0015446,              0.0015446,              0.0015446
