                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.78034,                   5.68,                  0.511,                0.53619,                 1.0682,                0.97182,                0.89331,                0.95178,                 0.7634,                0.39897,                0.29928,                0.17897,                0.05297,                0.77596,                  5.474,                0.53254,                0.50021,                 1.0768,               0.001802,               0.001802,               0.001802
                     22,                0.75775,                 5.5804,                0.51035,                0.51338,                 1.0461,                0.96579,                0.89364,                0.95573,                 0.7624,                0.41058,                0.32806,                0.21026,                0.06943,                0.76365,                 5.4084,                0.52339,                 0.5083,                 1.0852,              0.0017921,              0.0017921,              0.0017921
                     23,                 0.7555,                 5.5206,                0.50775,                0.51887,                 1.0501,                0.97755,                0.90647,                0.96893,                0.77213,                0.41098,                 0.3482,                 0.1915,                0.05904,                 0.7302,                  5.189,                0.52612,                0.47086,                 1.0593,              0.0017822,              0.0017822,              0.0017822
                     24,                0.76198,                 5.6145,                0.49871,                0.52903,                 1.0513,                0.96144,                0.93279,                0.96501,                0.77576,                0.46545,                0.36547,                0.25757,                0.07786,                0.74137,                 5.0892,                0.52694,                0.46391,                 1.0627,              0.0017723,              0.0017723,              0.0017723
                     25,                 0.7558,                 5.3821,                 0.4966,                 0.5203,                 1.0509,                 0.9451,                0.91646,                 0.9587,                0.77358,                0.44108,                0.36835,                0.23072,                0.06514,                0.74273,                 5.0043,                0.50557,                0.50159,                 1.0639,              0.0017624,              0.0017624,              0.0017624
                     26,                0.76066,                  5.314,                0.48656,                0.50679,                 1.0425,                0.96967,                0.92518,                0.95523,                0.77479,                 0.4607,                0.35971,                0.24162,                0.07647,                0.72038,                 4.8783,                0.51162,                0.52492,                  1.065,              0.0017525,              0.0017525,              0.0017525
                     27,                0.75218,                 5.3626,                0.48244,                0.50746,                 1.0532,                0.96612,                 0.9223,                0.95833,                0.78728,                0.48041,                0.38129,                0.28657,                0.09679,                0.70937,                 4.7848,                0.51406,                0.45331,                 1.0382,              0.0017426,              0.0017426,              0.0017426
                     28,                 0.7315,                 5.3457,                0.48604,                0.49724,                 1.0394,                0.96542,                0.92387,                0.96642,                0.78844,                0.48291,                0.37266,                0.28204,                 0.1048,                0.73074,                  4.872,                0.51175,                0.45065,                 1.0639,              0.0017327,              0.0017327,              0.0017327
                     29,                0.73184,                 5.2262,                0.48185,                0.49047,                 1.0362,                0.96716,                0.90647,                0.95308,                0.78244,                0.45001,                0.36403,                0.26011,                0.08824,                0.71826,                  4.881,                0.50764,                  0.476,                 1.0541,              0.0017228,              0.0017228,              0.0017228
                     30,                0.74314,                 5.3038,                0.48374,                0.49415,                 1.0431,                0.96382,                0.91983,                0.96319,                0.79664,                0.49051,                0.39137,                0.31236,                0.11245,                0.71853,                 4.6074,                0.50316,                0.44637,                 1.0501,              0.0017129,              0.0017129,              0.0017129
