                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.68284,                 4.3264,                0.48539,                0.45679,                 1.0074,                0.98062,                 0.9295,                0.97193,                 0.8044,                0.56335,                0.46187,                0.39029,                0.14779,                0.69025,                 3.9379,                0.50023,                0.41325,                 1.0249,               0.001604,               0.001604,               0.001604
                     22,                0.67147,                 4.1781,                0.48222,                0.44097,                  0.994,                0.96585,                0.93603,                0.97309,                0.80109,                0.55338,                 0.4705,                0.35209,                0.13334,                0.69199,                 4.0069,                0.50179,                0.40889,                 1.0289,              0.0015842,              0.0015842,              0.0015842
                     23,                 0.6735,                 4.1493,                0.47641,                0.44342,                 1.0006,                0.96405,                0.92607,                0.96774,                0.79665,                0.57677,                 0.4705,                0.38539,                0.14897,                0.69337,                 4.0538,                 0.5033,                0.43246,                 1.0413,              0.0015644,              0.0015644,              0.0015644
                     24,                0.67192,                 4.2781,                 0.4741,                0.44916,                0.99929,                0.96594,                0.93857,                 0.9709,                0.78801,                0.56515,                0.47482,                0.37886,                0.14103,                0.73686,                 4.0392,                0.49937,                0.41771,                 1.0662,              0.0015446,              0.0015446,              0.0015446
                     25,                0.67389,                  4.106,                0.47028,                0.44153,                 1.0023,                0.97017,                 0.9223,                0.97338,                0.80883,                0.58303,                0.48345,                0.39233,                 0.1462,                0.67588,                 3.9563,                0.49245,                0.43104,                 1.0143,              0.0015248,              0.0015248,              0.0015248
                     26,                0.65654,                  3.893,                0.45743,                 0.4289,                0.98526,                 0.9808,                 0.9295,                0.96688,                0.80241,                0.59255,                0.49928,                0.41123,                0.15673,                0.68116,                 3.7976,                0.48742,                0.41193,                 1.0259,               0.001505,               0.001505,               0.001505
                     27,                0.65609,                 4.0589,                0.45645,                0.43514,                0.99377,                0.98022,                0.92709,                0.97106,                0.80665,                0.59163,                0.51279,                0.42684,                 0.1671,                0.68094,                 3.8108,                 0.4863,                0.40152,                 1.0272,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.6639,                  3.981,                0.45633,                0.43077,                0.99214,                0.98474,                 0.9295,                0.97618,                0.81551,                0.60855,                0.50935,                0.46113,                0.20293,                0.66387,                 3.7061,                0.49136,                 0.3947,                 1.0076,              0.0014654,              0.0014654,              0.0014654
                     29,                0.64651,                 3.9126,                0.45074,                 0.4208,                0.99256,                0.96628,                0.94245,                0.97109,                0.80024,                0.59271,                0.48921,                0.41259,                0.15723,                0.68141,                 3.8282,                0.48116,                0.39724,                 1.0328,              0.0014456,              0.0014456,              0.0014456
                     30,                0.63115,                 3.8736,                0.45173,                0.41164,                0.98715,                0.97761,                0.94235,                0.97244,                0.81068,                0.57549,                0.48764,                0.41343,                0.16983,                0.66594,                  3.854,                0.47969,                0.38671,                 1.0165,              0.0014258,              0.0014258,              0.0014258
                     31,                0.63497,                 3.8433,                0.44851,                0.40829,                0.97751,                0.96923,                0.94101,                0.97397,                 0.8086,                0.57509,                0.51511,                0.40723,                0.16655,                0.66338,                 3.7022,                0.48162,                0.38888,                 1.0119,               0.001406,               0.001406,               0.001406
                     32,                0.64192,                 3.8357,                0.44708,                 0.4187,                0.98368,                0.96727,                0.93558,                0.97318,                0.80785,                0.61952,                0.53525,                0.43324,                0.17218,                0.65771,                 3.6631,                0.47108,                0.39466,                 1.0071,              0.0013862,              0.0013862,              0.0013862
                     33,                0.61006,                 3.6442,                0.44506,                0.40062,                0.96286,                 0.9762,                0.94676,                0.97602,                0.82235,                0.60894,                0.52651,                0.45084,                0.19075,                0.65685,                 3.6018,                0.48541,                0.37864,                 1.0107,              0.0013664,              0.0013664,              0.0013664
                     34,                0.61574,                 3.6328,                0.44478,                0.38965,                0.96732,                0.97031,                0.94044,                 0.9719,                 0.8162,                0.60078,                 0.5295,                0.46251,                0.19392,                0.66956,                 3.5811,                0.47023,                0.39643,                 1.0116,              0.0013466,              0.0013466,              0.0013466
                     35,                0.60651,                 3.5893,                0.43895,                0.39285,                0.96156,                0.96609,                0.94297,                0.97737,                0.82061,                0.59886,                0.53813,                 0.4279,                0.17157,                0.63515,                 3.5252,                0.46231,                0.37381,                0.98691,              0.0013268,              0.0013268,              0.0013268
                     36,                0.59674,                 3.6062,                 0.4423,                0.38692,                0.95356,                0.96661,                 0.9482,                0.97936,                0.81335,                0.59235,                0.52518,                0.40018,                0.15268,                0.65183,                 3.5939,                 0.4607,                0.37733,                0.99758,               0.001307,               0.001307,               0.001307
                     37,                0.60638,                 3.6734,                0.44466,                0.39825,                0.96994,                0.97912,                0.94473,                0.97615,                0.81524,                0.60027,                 0.5337,                 0.4474,                0.19019,                0.66397,                 3.5163,                0.46593,                  0.392,                 1.0074,              0.0012872,              0.0012872,              0.0012872
                     38,                0.61374,                 3.5951,                0.43258,                0.39177,                0.96831,                0.96838,                0.93813,                0.97793,                0.82526,                 0.6221,                0.54952,                 0.4924,                0.19897,                0.65513,                 3.6033,                0.46231,                0.37392,                 1.0046,              0.0012674,              0.0012674,              0.0012674
                     39,                0.60771,                 3.5659,                0.42982,                0.39222,                0.96951,                0.97149,                0.93153,                0.97673,                0.82627,                0.62153,                0.53525,                0.48856,                 0.2225,                0.64439,                 3.4805,                0.46561,                0.36662,                 1.0004,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.6139,                 3.4002,                0.42109,                 0.3961,                0.97574,                 0.9762,                0.94413,                0.97871,                0.82363,                0.62555,                0.56403,                0.50286,                0.21025,                0.64709,                 3.3748,                0.45843,                0.36818,                 1.0008,              0.0012278,              0.0012278,              0.0012278
                     41,                0.59772,                 3.4053,                0.42049,                0.38425,                0.96415,                0.97659,                0.94964,                0.97615,                0.83573,                0.62306,                0.55179,                0.50085,                0.21906,                 0.6347,                  3.407,                0.45475,                0.36133,                0.99742,               0.001208,               0.001208,               0.001208
                     42,                0.57775,                 3.3129,                0.42021,                0.36999,                0.94484,                0.98357,                0.94765,                0.97929,                0.82359,                0.63385,                0.54532,                0.48588,                0.21531,                0.65224,                 3.3632,                0.45477,                0.35924,                 1.0026,              0.0011882,              0.0011882,              0.0011882
                     43,                0.59007,                 3.4008,                0.41766,                0.37435,                0.95871,                0.98626,                0.93669,                0.97428,                0.82309,                0.61417,                 0.5295,                0.45842,                0.19567,                0.66042,                  3.524,                0.46425,                0.37862,                 1.0057,              0.0011684,              0.0011684,              0.0011684
                     44,                0.58559,                 3.3824,                0.42287,                0.37875,                0.95943,                0.97891,                0.93482,                0.97447,                0.82664,                0.64184,                0.55695,                0.50475,                0.22895,                0.65671,                 3.3485,                0.45362,                0.35322,                 1.0133,              0.0011486,              0.0011486,              0.0011486
                     45,                0.57586,                 3.2678,                0.41692,                0.36783,                0.94568,                0.97175,                0.94054,                0.97564,                0.83244,                0.65317,                0.56115,                0.54284,                0.26197,                0.64788,                 3.2805,                0.44692,                0.36793,                0.99274,              0.0011288,              0.0011288,              0.0011288
                     46,                0.58303,                 3.1772,                0.40786,                 0.3725,                0.95517,                0.98364,                0.94245,                0.97904,                0.83401,                0.65167,                 0.5741,                0.52556,                 0.2285,                0.64086,                 3.2817,                0.44857,                0.35638,                0.99903,               0.001109,               0.001109,               0.001109
                     47,                0.56962,                 3.2081,                0.40621,                0.36636,                0.94942,                 0.9762,                0.94412,                0.97803,                 0.8332,                 0.6338,                0.57266,                0.51314,                0.23905,                0.64478,                 3.2447,                0.44846,                0.35553,                  0.995,              0.0010892,              0.0010892,              0.0010892
                     48,                0.56743,                  3.197,                0.40645,                0.36189,                0.94024,                0.96768,                0.94532,                0.98154,                0.82747,                0.64875,                0.58199,                0.47915,                 0.2047,                0.65628,                 3.1998,                0.44645,                0.37293,                 1.0048,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.5651,                 3.0556,                0.40279,                0.36177,                0.94235,                0.98193,                0.94101,                0.97985,                0.82962,                0.65338,                0.58856,                0.53071,                0.24335,                0.63248,                 3.2112,                0.44337,                0.35144,                0.98197,              0.0010496,              0.0010496,              0.0010496
                     50,                0.55801,                 3.0229,                0.39379,                0.35772,                0.94372,                0.98353,                0.94489,                0.98234,                0.83173,                 0.6499,                0.57986,                0.54207,                0.24826,                0.64431,                 3.2062,                0.44642,                0.35497,                 1.0033,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.5571,                 3.0369,                0.39942,                0.36077,                 0.9421,                0.98118,                0.94245,                0.98382,                0.84267,                 0.6618,                0.58273,                0.56011,                0.26304,                0.60672,                 3.1913,                0.44725,                0.34652,                0.97692,                0.00101,                0.00101,                0.00101
                     52,                0.55875,                 3.0846,                0.39766,                0.35561,                 0.9396,                0.97894,                0.94388,                0.97995,                0.83225,                0.63714,                0.56259,                0.52958,                0.24842,                0.64086,                 3.2847,                0.44704,                0.37019,                 1.0032,              0.0009902,              0.0009902,              0.0009902
                     53,                0.56125,                 3.1129,                0.39926,                0.35926,                0.94529,                0.98049,                0.94024,                0.97886,                 0.8282,                0.64188,                0.57554,                0.52429,                0.23153,                0.62641,                 3.2243,                0.44289,                0.35219,                0.99159,              0.0009704,              0.0009704,              0.0009704
                     54,                0.54672,                 2.9399,                0.39163,                0.35473,                0.93345,                0.96622,                0.94964,                0.97604,                0.83707,                0.65589,                0.57986,                0.52585,                0.24609,                0.62841,                 3.1703,                  0.428,                0.35099,                 1.0026,              0.0009506,              0.0009506,              0.0009506
                     55,                0.53699,                 2.9506,                0.40235,                0.34244,                0.92776,                0.97328,                0.95108,                0.97764,                0.83604,                0.64679,                0.58756,                0.55008,                0.25559,                0.62768,                 3.1907,                0.43695,                0.34551,                 1.0017,              0.0009308,              0.0009308,              0.0009308
                     56,                0.55482,                 3.0086,                0.38758,                0.35655,                0.94534,                0.97069,                0.95303,                0.98066,                  0.838,                0.67616,                0.59568,                0.58129,                0.28039,                0.64098,                 3.1161,                0.43461,                0.35419,                  1.012,               0.000911,               0.000911,               0.000911
                     57,                 0.5382,                 2.9577,                0.38669,                0.33746,                0.92929,                0.98046,                0.93867,                0.97988,                 0.8333,                0.64751,                0.58273,                0.51624,                0.24149,                0.64094,                 3.1909,                0.44504,                0.34285,                 1.0114,              0.0008912,              0.0008912,              0.0008912
                     58,                0.54261,                 2.9929,                0.39009,                0.34156,                0.93821,                0.98094,                0.94245,                0.98495,                0.84231,                0.65538,                 0.5883,                0.52656,                0.23503,                0.62363,                 3.1343,                0.43361,                0.34353,                0.99478,              0.0008714,              0.0008714,              0.0008714
                     59,                0.52632,                 2.8937,                0.39077,                0.33944,                0.92973,                0.97462,                0.93913,                0.98119,                0.83767,                0.66782,                0.57842,                 0.5337,                0.26332,                0.62518,                  3.162,                0.43128,                0.34914,                0.99371,              0.0008516,              0.0008516,              0.0008516
                     60,                0.52133,                 2.8841,                0.38721,                0.33514,                0.92521,                0.97471,                0.94271,                0.97268,                0.82342,                0.66157,                0.58129,                0.49995,                 0.2344,                0.63692,                 3.1114,                0.43327,                 0.3453,                 1.0046,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52678,                 2.8071,                0.39024,                0.33735,                0.92774,                0.97723,                0.95108,                0.98037,                 0.8424,                0.67572,                0.60563,                0.56855,                0.26983,                0.62064,                 3.0124,                0.43478,                0.33186,                0.99311,               0.000812,               0.000812,               0.000812
                     62,                0.52918,                  2.747,                 0.3813,                0.33677,                0.92637,                0.98467,                0.94245,                0.98115,                0.83693,                 0.6557,                0.58367,                0.51923,                0.24833,                0.62573,                 3.0828,                0.43851,                0.33756,                0.99512,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.5308,                 2.7641,                0.38388,                0.33371,                0.93255,                0.98007,                0.94245,                0.97965,                0.83711,                0.66653,                0.59568,                0.53738,                0.26107,                 0.6189,                 3.0337,                0.43484,                0.33831,                0.98658,              0.0007724,              0.0007724,              0.0007724
                     64,                0.51602,                  2.735,                 0.3821,                0.32974,                0.92166,                 0.9836,                0.94964,                0.98355,                0.84668,                0.68047,                0.61284,                0.57671,                0.29061,                0.60138,                 2.9917,                0.42908,                 0.3224,                0.98055,              0.0007526,              0.0007526,              0.0007526
                     65,                0.50292,                  2.641,                0.37266,                0.31863,                0.92104,                0.98216,                 0.9554,                0.98429,                0.84672,                0.66758,                0.59856,                0.56038,                0.28176,                0.61309,                 3.0594,                0.42574,                0.32334,                 0.9914,              0.0007328,              0.0007328,              0.0007328
                     66,                0.50679,                 2.7442,                0.38188,                0.32334,                0.92288,                0.98355,                0.94615,                0.98115,                0.84249,                0.66654,                0.59856,                0.56202,                0.28666,                0.61663,                 3.0073,                0.42561,                0.33071,                0.99169,               0.000713,               0.000713,               0.000713
